Accession;Description;Master;Abundance: F1: 128N, Sample, Alagille Syndrome;Abundance: F1: 130C, Sample, Alagille Syndrome;Abundance: F2: 130N, Sample, Alagille Syndrome;Abundance: F3: 127N, Sample, Alagille Syndrome;Abundance: F3: 129C, Sample, Alagille Syndrome;Abundance: F4: 126, Sample, Alagille Syndrome;Abundance: F4: 129N, Sample, Alagille Syndrome;Abundance: F1: 127C, Sample, Biliary Atresia;Abundance: F1: 130N, Sample, Biliary Atresia;Abundance: F2: 127N, Sample, Biliary Atresia;Abundance: F2: 129C, Sample, Biliary Atresia;Abundance: F3: 129N, Sample, Biliary Atresia;Abundance: F4: 128C, Sample, Biliary Atresia;Abundance: F4: 131N, Sample, Biliary Atresia;Abundance: F1: 126, Sample, Control;Abundance: F1: 129N, Sample, Control;Abundance: F2: 128C, Sample, Control;Abundance: F2: 131N, Sample, Control;Abundance: F3: 128N, Sample, Control;Abundance: F3: 130C, Sample, Control;Abundance: F4: 130N, Sample, Control;Abundance: F1: 131N, Sample, DAAT;Abundance: F2: 128N, Sample, DAAT;Abundance: F2: 130C, Sample, DAAT;Abundance: F3: 127C, Sample, DAAT;Abundance: F3: 130N, Sample, DAAT;Abundance: F4: 127N, Sample, DAAT;Abundance: F4: 129C, Sample, DAAT;Abundance: F1: 131C, Control, IS;Abundance: F2: 131C, Control, IS;Abundance: F3: 131C, Control, IS;Abundance: F4: 131C, Control, IS;Abundance: F1: 127N, Sample, PFIC;Abundance: F1: 128C, Sample, PFIC;Abundance: F1: 129C, Sample, PFIC;Abundance: F2: 126, Sample, PFIC;Abundance: F2: 127C, Sample, PFIC;Abundance: F2: 129N, Sample, PFIC;Abundance: F3: 126, Sample, PFIC;Abundance: F3: 128C, Sample, PFIC;Abundance: F3: 131N, Sample, PFIC;Abundance: F4: 127C, Sample, PFIC;Abundance: F4: 128N, Sample, PFIC;Abundance: F4: 130C, Sample, PFIC
Q14194;Dihydropyrimidinase-related protein 1 OS=Homo sapiens OX=9606 GN=CRMP1 PE=1 SV=1;Master Protein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q8IYI6;Exocyst complex component 8 OS=Homo sapiens OX=9606 GN=EXOC8 PE=1 SV=2;Master Protein;1033;1021,5;714,7;1024,5;1120,3;1743,4;1765,8;892,8;852,1;935,9;791,6;1259,7;2236,3;1777,8;753,8;964;725,7;710,9;1063,3;1119,5;1766,5;454,4;644,7;506,3;1021,2;1031,9;1837,4;2264,9;980,9;743;1131,2;1858,5;1309,5;1111;1041,6;798,5;753,5;794,1;1344;1365,7;1580,3;2090,7;2551,5;2368,3
Q7Z7K6;Centromere protein V OS=Homo sapiens OX=9606 GN=CENPV PE=1 SV=1;Master Protein;1753,7;1328,7;1955,6;1292,9;1783,8;1330,3;1739,1;1052,6;1258,4;2140,2;2482,4;1596,2;2139,9;1711,3;1074,8;1172,1;1824,2;2641;1413,1;1516,8;1962,5;515,8;2118,5;1086,3;1222,3;1562,8;1527,3;1895,4;1443,9;2015,3;1472,2;1625,6;1263,5;1321,5;980,5;2305,9;2089,5;2783,6;1724,4;2059,3;2399;2566;2154,7;2314,3
O75323;Protein NipSnap homolog 2 OS=Homo sapiens OX=9606 GN=NIPSNAP2 PE=1 SV=1;Master Protein;1292,1;1191,7;518,2;762,8;707,4;942;774,6;992,1;1277,8;666,5;529,7;787,5;957,6;773,5;700,2;986,5;383,3;440,4;506;491,1;690;1650,7;464,3;429,5;542,1;583,4;729,3;993,8;1260,8;455,2;633,3;822,6;1413,6;1318,2;1392,5;463,7;457,9;551,4;848,6;839,1;1030;912;1292,9;1068,5
O60502;Protein O-GlcNAcase OS=Homo sapiens OX=9606 GN=OGA PE=1 SV=2;Master Protein;1841,6;1644,4;889;855,5;1162,5;1483,5;1510,9;1500,7;1306,3;999,2;979,8;1075,6;1741,4;1515,6;1386,8;1510,3;851,4;794,8;950;1032,2;1490,5;578,8;735,1;539,5;877,5;812,4;1547,6;1620,5;1503,7;867,9;1003,8;1456,3;1694,6;1686,7;1403,5;918,5;888,1;1006,3;1096,4;1145,9;1308,5;1814,5;2062,4;1827,3
Q9NVE7;4'-phosphopantetheine phosphatase OS=Homo sapiens OX=9606 GN=PANK4 PE=1 SV=1;Master Protein;1861,2;1719,4;1263,5;472,8;648,6;883,3;1074,6;1568,5;1343,6;1410,8;1487,6;621,4;1146,6;1153,9;1366,1;1949;1223;1411,5;646,1;614,3;1330,4;522,4;1174,7;790,6;548,2;483,7;985,3;1165,4;1605,4;1181,8;596,4;1088,3;1833,3;1656,7;1381,1;1323;1492,6;1396,6;663,2;642,1;772,9;1300,2;1223,8;1356,9
P62942;Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens OX=9606 GN=FKBP1A PE=1 SV=2;Master Protein;3553;2273,2;1025,1;1718,7;1364,9;1753,4;1216,8;2388,8;2025,1;1324,5;1120,3;1609,3;1671,8;1187,5;2220;2331,9;873,6;949,8;860,9;1114;1081;898,9;1151,8;849,3;1018,3;1293,9;1313,9;1972,7;2420;1051;1369,8;1318,2;2555,3;2652,7;1898,3;947,7;958,6;1042,4;2118,5;1766,6;2083,9;1401,8;2881;1739,1
Q9H6K4;Optic atrophy 3 protein OS=Homo sapiens OX=9606 GN=OPA3 PE=1 SV=1;Master Protein;3376,6;3139,8;2170,6;1541,5;2254;1239,3;1921,4;2717,4;1868,9;2742,6;3069,2;2075,6;1838,6;1542,2;2480;2465,8;2355,6;2502,3;1293,6;1903,7;2395,2;714,2;1670,4;1055,1;1772,1;1769;1848,6;1474,7;2650,2;2116,2;1855,9;1606,6;2743,7;2600,2;1866,2;2442,6;2044,7;2510,7;2024,2;2128,6;2335,7;2190,6;1779,1;2189,9
Q01085;Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1;Master Protein;494,6;471,5;469,9;489,3;559,2;487,3;526;418,7;364;631;565,6;546,8;565,5;555,9;346,7;545,8;503,1;500,6;580,9;640,9;543,2;152,4;481,6;327,3;477,3;461,5;489,1;661,6;415,9;471,1;520,6;537,5;498,9;456,4;386,1;567,2;563,1;552,5;588;599,7;730,3;596,9;649,8;652,8
Q8N335;Glycerol-3-phosphate dehydrogenase 1-like protein OS=Homo sapiens OX=9606 GN=GPD1L PE=1 SV=1;Master Protein;1438,9;1125,8;415,5;946,2;1110,9;877,7;578,4;961,3;881;469,8;465,1;898,4;744,1;539,6;940,4;1324,7;382,5;466,5;866,3;850,2;622,1;425,5;460,4;335,8;804,7;1016,6;654,7;976,4;1234;417,3;940,1;662,3;1349,4;1258,1;1038,7;394,8;397,7;459,7;1257,3;1072,1;1250,6;664,1;1138,4;771
P49023;Paxillin OS=Homo sapiens OX=9606 GN=PXN PE=1 SV=3;Master Protein;1750,9;1349,3;899,6;1508,3;1859,5;1356,7;1224,9;1402,7;936,2;911,5;773,9;1767,5;1233,3;1159,4;1378;1477,7;830;937,1;1582,8;1850,2;1168,6;749,5;790,6;534,8;1354,6;1362,3;1055;1169,9;1547,2;772,7;1708,7;1113;1528,3;1617,3;1042;794,3;834,5;830;2286,3;2108,2;3372,7;1361,4;1596,3;1433,3
Q9UBB4;Ataxin-10 OS=Homo sapiens OX=9606 GN=ATXN10 PE=1 SV=1;Master Protein;1580,8;1384,1;1157,3;766,1;880,8;890,7;958,4;1339,7;1247,9;1516,9;1408;865,5;1373,7;1108,2;1196,1;1364;1357,3;1464,9;968,8;983,8;1135,3;449,9;1072,5;835,9;712,2;696,9;877,5;1017,7;1378,7;1183,2;783,3;1038,9;1602,4;1668,9;1300,4;1358,2;1337;1431,6;1020,7;1018;1120,5;1142;1497,6;1396
P61018;Ras-related protein Rab-4B OS=Homo sapiens OX=9606 GN=RAB4B PE=1 SV=1;Master Protein;73,6;67,8;186,2;225,2;262,7;54,9;62,1;57,8;60,4;294,6;225,8;256,9;69,4;65,4;53,8;62,6;167,3;182,7;248,2;257,1;54;19,3;164,8;147,1;251,5;214,8;41,9;61,3;57,1;203,3;230,6;54,2;57,4;67,1;52,1;239,5;211,2;195,2;245,3;261;368,9;74;64,7;49,8
Q13573;SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1;Master Protein;2124,5;1716,2;1652,7;860;1122,8;1176,5;1242,3;1574,4;1420,8;2083,3;1977;1046,9;1539,5;1337,7;1487,9;1870,6;1826,3;1901,6;1081,7;1090,8;1702;760,4;1574;1102,4;913,3;900,8;1320,5;1543,2;1835,1;1630,4;979,4;1358,2;1971,9;1932;1637,1;1852,1;1888,6;1924,1;1112,3;1253,6;1389,1;1619;1706,7;1659,8
P46087;Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2;Master Protein;723,2;606,1;827,7;947,4;1346;1027,8;1249,8;681,7;746,2;931,4;894,6;1154,2;1404,9;1210,3;644,2;713,2;966,5;1048,5;1076,7;1170,8;1379,9;442,3;709,4;551,8;1055,9;1047,7;1161;1393,2;665,1;794,1;1027,4;1240,7;768,2;753,1;633,1;872,2;950,1;928,1;1070,6;1346,8;1435,4;1511,7;1444,9;1490,8
O00214;Galectin-8 OS=Homo sapiens OX=9606 GN=LGALS8 PE=1 SV=4;Master Protein;988,1;871,3;1074,8;912,1;1075,1;940,1;1306,9;781,3;806;1385,5;1189,6;1099,1;1384;1321,1;707,9;865,4;992,5;1258;1063,2;1145,8;1185,5;298,9;862,6;594,4;908,9;898,4;1380,5;1209,4;819,4;1105,1;995,7;1250,6;936,1;894,1;780,4;1326,5;1325,2;1232,7;1029,7;1149,4;1307,8;1307,5;1197,9;1613,8
Q9Y3E5;Peptidyl-tRNA hydrolase 2, mitochondrial OS=Homo sapiens OX=9606 GN=PTRH2 PE=1 SV=1;Master Protein;1001,9;831,7;804,4;895,1;860,3;873,9;1269,6;937,7;543,3;996;1058,1;1159,5;1526,9;1107,7;1046;1071,2;1252,3;1086,9;1077,9;1370,2;1498,6;250,3;946,5;466,5;1216,4;1097,2;1169,9;1073,9;806,1;814,9;1150,3;1167,1;886,4;844,7;575,3;669,8;810,4;943;1038,9;1327,2;1364;1364,1;1339,4;1385,8
O95747;Serine/threonine-protein kinase OSR1 OS=Homo sapiens OX=9606 GN=OXSR1 PE=1 SV=1;Master Protein;1289,5;1050,1;1291,1;1324,5;1403,6;1245,7;1388,7;1076,1;1033,6;1491,6;1497,1;1264,6;1645,8;1394,7;926,1;1103,5;1627,7;1569,4;1249,4;1273,3;1646,2;538,5;1260,7;822,4;1057,7;1145,7;1363,2;1512,4;1111,2;1291,8;1252,6;1466,8;1202;1194,6;1131,9;1370,1;1474,8;1367,3;1565,7;1347,6;1469,1;1649,1;1887,2;1725,8
Q8TC07;TBC1 domain family member 15 OS=Homo sapiens OX=9606 GN=TBC1D15 PE=1 SV=2;Master Protein;1750,4;1552,9;1364,7;962,6;1325,2;1219,3;1598,6;1413,4;1229,4;1819,7;1710,8;1274,9;1559,2;1520,7;1450,7;1658,1;1597,1;1905,8;1392,4;1436,8;2139,8;817,6;1242,8;928,2;1165,3;1034,6;1370,2;1485,6;1431,4;1443,6;1143,7;1522,3;1556,3;1679,6;1237,6;1563,6;1642,2;1604,2;1268,3;1337,4;1575,8;1967,9;1882,1;1775,5
O75663;TIP41-like protein OS=Homo sapiens OX=9606 GN=TIPRL PE=1 SV=2;Master Protein;1464,1;1285,1;1306,3;1526,3;1673,1;1547,3;1768,2;1186,1;1004;1690,1;1590,7;1768,6;2369;1724,7;1045,6;1440,2;1543;1745,2;1450,7;1729;1838,9;586,1;1175,7;756,2;1232,3;1283,3;1481,6;1781;1281,6;1466,7;1594,2;1771,9;1602,3;1438,4;1176,5;1282,6;1220,7;1583,2;1971;2111,9;2163,4;1928,2;2424,9;2344,8
Q14397;Glucokinase regulatory protein OS=Homo sapiens OX=9606 GN=GCKR PE=1 SV=6;Master Protein;1639,9;1370,5;905,5;779,7;1095,2;808,7;1600,3;1158,8;1340,3;956,7;1058,2;1181,6;1491,3;1328,9;2190,4;1516,9;1859,4;1264,1;2140,5;1964,5;1708,5;747,9;972,2;646,6;1153,8;757,3;1412,9;958,5;1371,7;1052,8;1205,6;1298,3;1519,6;1180,5;1244,1;994,2;1098,9;1041,1;1110,2;2006,6;1214,7;1285,1;1282,2;1254
Q9BRA2;Thioredoxin domain-containing protein 17 OS=Homo sapiens OX=9606 GN=TXNDC17 PE=1 SV=1;Master Protein;2673,4;2311,3;1264,8;2101,7;2297,2;1277,3;1587,9;2130,8;1903;1489,6;1603,9;3326,5;2535,5;1833,1;1897,8;2451,3;1475,2;1644,1;2476;2708,8;2201,3;602,3;969,1;556,3;1921,5;1968,8;1828,4;1808,1;2310,7;1225,2;2405,9;1705,7;2226,3;2605,4;1633,7;1202,9;1318,1;1306,7;3344,3;2904,3;3101,1;1965,5;3186,6;2182,4
Q9P2B2;Prostaglandin F2 receptor negative regulator OS=Homo sapiens OX=9606 GN=PTGFRN PE=1 SV=2;Master Protein;2185,3;1862;1298,9;2339,4;1960,7;2174,9;2056,8;1802,7;2207,6;1742,1;1569,1;2406,8;3032,4;2408,9;1674;2274,4;1357,6;1480,9;1912,5;1669;2349,2;877,2;1104,2;750,4;1873,1;1617,7;2786,6;2699,7;2038,4;1295,6;2049,9;2446,4;2274,8;2340,2;2045,8;1278,1;1403,4;1249,4;2509;2358,7;2494,8;2272,8;3060,5;3807,1
P62854;40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3;Master Protein;1473,5;1287,8;907,8;868,8;1093;1460,5;1661,8;1183,7;953,5;1189;1045,6;1077,2;2095;1817,2;1445,4;1615,2;1317,7;1244,5;1165,3;1282,2;2087,3;457,7;828;607,8;844,4;879;1682,5;1718,4;1316,4;911,7;998,3;1811,2;1521,3;1301,1;1128,3;1035,9;1056,5;1008,5;1061,5;1252,8;1328,2;1994,5;2161,5;2257,9
P16455;Methylated-DNA--protein-cysteine methyltransferase OS=Homo sapiens OX=9606 GN=MGMT PE=1 SV=1;Master Protein;1662,4;1784,7;872,4;592,2;1044,1;803,6;980,4;1275,1;1036,8;975,6;1162,3;719,8;911,9;1041,3;1789,7;1472,7;1717,2;1393;894,1;1444,2;1270,9;513;689;450,9;682,4;678,4;806,4;922,1;1442,7;1006,9;747,7;985,6;1077,9;1268,5;882,6;951,6;891,3;1250,4;515,8;740,8;1126,5;1503,3;913,1;1011,6
P61960;Ubiquitin-fold modifier 1 OS=Homo sapiens OX=9606 GN=UFM1 PE=1 SV=1;Master Protein;2135,1;1698,6;638,8;754,9;1167,7;1050,7;1223,5;1592,3;1333,1;917,5;914,8;1167,9;1618,8;1512,8;1456,1;2040,2;730,4;950,7;1133;1387,3;1603,7;397,5;611,2;509;1017,9;961,1;1310,6;1619,9;1661,2;703;1044,5;1386,1;1841,5;1650,2;1467,7;760,2;829,5;792,1;1238,8;1385,8;1338,5;1748,5;2192,6;1816,6
Q9UJW0;Dynactin subunit 4 OS=Homo sapiens OX=9606 GN=DCTN4 PE=1 SV=1;Master Protein;1768,1;1636,3;1591,9;1186;1285,8;849;722,3;1441,1;1162;2156;2098,8;1314,4;863,4;792,5;1307,6;1612,9;1987,5;2040,7;1186,4;1232,4;814;552,8;1571,4;1114,8;1058,8;941,8;770,6;893,7;1442,2;1627,6;1184,8;702;1817,7;1558,5;1355,2;1936,8;1933,4;1952,7;1428,1;1475,2;1760,6;881,7;1003,1;917,6
Q9Y625;Glypican-6 OS=Homo sapiens OX=9606 GN=GPC6 PE=1 SV=1;Master Protein;1183,5;992,5;1533,4;2182,9;1785,7;2581,4;1937,5;869,2;1222,6;2291,8;1644,4;2153,8;2320,3;2036,2;714,4;959,7;1199,7;1218,7;1549;1397,1;1709,4;533,7;2476,8;1538,5;1626,1;1787,3;1913,1;2503;1046,3;1553,6;1748,8;1824,2;1151,6;1339,9;1054,6;1711,7;1718,3;1440,6;2383,8;2318;2483,8;2024,6;2943,5;2309,7
Q7Z739;YTH domain-containing family protein 3 OS=Homo sapiens OX=9606 GN=YTHDF3 PE=1 SV=1;Master Protein;3254;2992;1169,9;1195,3;1620,7;1703,4;2040,4;2435,5;2227,1;1426,4;1227,3;1424,8;2329,1;2128,2;2403,7;3126,7;1308,7;1246,2;1610,7;1681,3;2195,1;831,6;961,5;684,4;1241,9;1150,6;2008,5;2232,2;2797,2;1184,4;1440,3;2124,8;3315,9;3016,5;2628,8;1215,3;1368,6;1229,6;1556,5;1675;1814,8;2387,7;2558,6;2616,7
P0DME0;Protein SETSIP OS=Homo sapiens OX=9606 GN=SETSIP PE=1 SV=1;Master Protein;;;24,5;;;;;;;16,6;29,1;;;;;;20,7;19,7;;;;;18,6;14,2;;;;;;21,4;;;;;;23,4;20,4;19,5;;;;;;
Q5XKP0;MICOS complex subunit MIC13 OS=Homo sapiens OX=9606 GN=MICOS13 PE=1 SV=1;Master Protein;3822,8;2722,5;1455,8;1726,9;2220,6;1679,5;2368,6;2637,5;2127,6;1973,9;2177,1;2751,5;2819,2;2385,3;2410,4;2642,9;1670,1;1559,1;1771,7;1926,6;3349,6;1238,1;1304,7;1026,2;1920,8;1776,1;2798,8;2324,6;2681,7;1541,3;2038,2;2222;3209;2819,3;2432,4;1816,5;1911,8;2113,2;2340;2527,5;2832;3654,8;2710,2;3144,6
Q96E17;Ras-related protein Rab-3C OS=Homo sapiens OX=9606 GN=RAB3C PE=1 SV=1;None;73,9;64,8;123,1;;;;;66,2;60,1;150,7;137,9;;;;34,8;56,2;108,7;134,2;;;;19,4;123,7;104,7;;;;;55,1;97,4;;;69,2;77,3;45,9;100,6;114,9;111;;;;;;
Q9ULC4;Malignant T-cell-amplified sequence 1 OS=Homo sapiens OX=9606 GN=MCTS1 PE=1 SV=1;Master Protein;1242,8;1114,5;1367;1237,3;1532,9;1105,5;1248,3;1021,9;825,4;1793,1;1654,9;1490,8;1506,7;1325,3;909,6;1159;1464,9;1524,1;1292,8;1432,1;1407,6;408,7;1227,9;944,6;1262,4;1296,4;1209,4;1540,1;1073,5;1376;1296;1248,5;1251,5;1220,1;930,5;1555,4;1546,2;1548,6;1597,9;1604,3;1790,7;1466,9;1928,8;1563,1
Q6PKH6;Dehydrogenase/reductase SDR family member 4-like 2 OS=Homo sapiens OX=9606 GN=DHRS4L2 PE=2 SV=1;None;3595,8;2382,7;1323,2;786,6;1700,8;998,9;2045,1;2429,9;1989,2;969,9;1814,8;859,7;1137;2241;2401,4;2380,4;2620,7;2623,2;1216;1861,3;2307,5;833,1;1445;597,4;1434,5;888,3;1384,6;1107,9;2034,8;1602,8;1176,9;1716,9;1816,9;1702,9;1350;1716;1655;1710;693,5;884,6;1242;1649,6;1424,2;1421,5
P00748;Coagulation factor XII OS=Homo sapiens OX=9606 GN=F12 PE=1 SV=3;Master Protein;1104,4;858,6;555,4;1211,2;1240,8;1557;1322,3;695,1;851,6;486,6;416,1;790,9;1388,6;1141,6;622,7;656,9;328,4;443,5;737,8;766,1;1117,8;664,9;324;285,7;571,5;558,2;1178,5;1146,1;925,7;372,1;782,9;1302,2;808,3;737,7;1061,9;266,6;319;492,4;990,8;970,7;1288,6;1589,9;1463,7;1724,4
O15228;Dihydroxyacetone phosphate acyltransferase OS=Homo sapiens OX=9606 GN=GNPAT PE=1 SV=1;Master Protein;5006,4;3367,4;1509,9;1102,8;1632,7;1311,7;1517,8;2413,4;1718,6;1360,5;1478,5;1082,6;1651;1528,7;2226,5;2197,1;1330,5;1331,2;992;1135;1593,2;947,3;1382,6;978,4;1323,1;1060,2;1421,5;1697,7;2529;1296,8;1154,3;1478,1;2913;3249,8;2015,6;1309,5;1510,3;1823,1;1208,4;1330,4;1451;2311,8;1775,4;1659,8
A8MTJ3;Guanine nucleotide-binding protein G(t) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAT3 PE=2 SV=2;None;1700,4;1580,7;929,2;1175,5;1276,6;1126,8;1038;1291,3;1273,8;1233,1;1035,9;1287,8;1165,7;968,4;1290,7;1501,2;942,7;945,7;1204,1;1200,9;1057,3;769,5;1049,9;758,5;1098;925,3;995,9;1170,2;1532,9;942;1182,7;1005,8;1920,8;1618,4;1567,2;1040,1;985;952,3;1534,7;1490,4;1662,5;1068,7;1429,3;1269,9
P29508;Serpin B3 OS=Homo sapiens OX=9606 GN=SERPINB3 PE=1 SV=2;Master Protein;1739,1;1089,9;103,6;70,8;70,1;2084,5;1773,6;1313,1;1092,7;126,3;106,8;70,8;2020,4;2365,4;1132,7;1358,1;104,3;113;66,8;73;2410,7;895,7;106,1;99,2;56;60,8;2223,1;26162,9;2121,2;308,5;124,2;3384;1523,2;1497;7856,6;103,7;97;122,1;73,5;110;106,5;2367,8;2534,8;2693
Q9UBC2;Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens OX=9606 GN=EPS15L1 PE=1 SV=1;Master Protein;967,6;826,2;873,8;1069,7;1239,1;868,6;810,5;779,5;670,3;984,6;987;1357,6;1032,2;970,9;674,8;736,4;866,5;891,9;1182,2;1221,4;832,2;281,4;737,1;544;1067,9;973,9;842,8;939,9;784,3;820,9;1155;884,1;889,2;883,9;738,6;864,3;936,9;896,8;1351,8;1516;1740,7;1045,2;1122,3;1117,9
P20336;Ras-related protein Rab-3A OS=Homo sapiens OX=9606 GN=RAB3A PE=1 SV=1;None;73,9;64,8;123,1;;;;;66,2;60,1;150,7;137,9;;;;34,8;56,2;108,7;134,2;;;;19,4;123,7;104,7;;;;;55,1;97,4;;;69,2;77,3;45,9;100,6;114,9;111;;;;;;
Q14005;Pro-interleukin-16 OS=Homo sapiens OX=9606 GN=IL16 PE=1 SV=4;Master Protein;1654,9;1547,2;1120,2;1505,9;1208,6;898,6;669,8;1058,3;1133,1;1153;1062,3;1149,1;527,4;534,8;1365,6;1868,8;1026,2;1016,4;1113,8;1175;522,7;1065;1088,5;1062,4;1033,7;978,6;526,7;764,3;1665,5;1062,7;1228,2;537,4;2043,8;1735,5;1488,4;1121,2;1211,7;1062,4;1434;1274,9;1802,4;590,7;764,1;698,4
P13807;Glycogen [starch] synthase, muscle OS=Homo sapiens OX=9606 GN=GYS1 PE=1 SV=2;Master Protein;415,9;357,2;366,5;332,6;383;515,8;548,1;321,8;272,7;334,6;355,9;386,3;592,4;516,1;333,5;433,7;464,8;413,2;421,4;404,9;596,7;215,6;293,3;258,8;307,4;286,3;634,3;651,5;355,1;350,2;349,6;549,5;453,5;350,3;355,9;364,3;373,8;397,2;372,9;418,9;431,8;612,1;756,9;712,1
P11488;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;None;1700,4;1580,7;929,2;1175,5;1276,6;1126,8;1038;1291,3;1273,8;1233,1;1035,9;1287,8;1165,7;968,4;1290,7;1501,2;942,7;945,7;1204,1;1200,9;1057,3;769,5;1049,9;758,5;1098;925,3;995,9;1170,2;1532,9;942;1182,7;1005,8;1920,8;1618,4;1567,2;1040,1;985;952,3;1534,7;1490,4;1662,5;1068,7;1429,3;1269,9
O15400;Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7 PE=1 SV=4;Master Protein;337,1;371,7;556,5;897;1014,7;1136,8;1071;309,5;285,8;762,3;645,2;1219,8;1586,8;1013,7;232,7;308,6;544,2;521,3;860,1;803,7;918,2;128,8;527,4;391,4;870,7;769,2;1094,9;1150,2;279,6;487,7;917,5;946,1;390,1;387,7;305,2;550,6;626,2;570,7;1081,6;1578,8;1221,9;1010,8;1373,7;1166,9
Q9H853;Putative tubulin-like protein alpha-4B OS=Homo sapiens OX=9606 GN=TUBA4B PE=5 SV=2;None;2639,5;2233,8;1424;1102,4;1375,2;1000,8;1132,5;2196,4;1769,1;1951,8;1712,3;1575;1481,1;1250,4;1701,1;2311,8;1226,8;1374,6;1287;1418,8;1175,1;475,5;1251,9;754,4;1207,5;1114,5;1005,8;1302,8;2216;1443,2;1346,9;1173,2;2364,1;2390,1;1683,7;1549,6;1595,7;1676,2;1548,3;1721,5;2067,6;1458,6;1367,6;1535,5
O75526;RNA-binding motif protein, X-linked-like-2 OS=Homo sapiens OX=9606 GN=RBMXL2 PE=1 SV=3;None;2210,8;1721,4;870,2;1002,5;1172,3;1088,8;1072,6;1605,5;1598,1;1220,5;1064,7;1199,4;1226,3;1102,1;1463,4;1738,7;914,6;861,9;948,4;1019,7;1062,7;717;899,6;572,3;889,9;927,1;900,9;1453,3;1473,2;737,3;912,7;848,6;2157,1;2006,3;1807;953,7;999;1108,7;1419,1;1399,9;1611,7;1370,1;1443,1;1372,6
P09496;Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1;Master Protein;5548,3;4844,1;3020,2;3121,3;3271,2;2155,3;2463;5094,8;2716,3;3844,4;3561,2;3701,7;3494,3;2198,2;3822,8;5190,6;3730,1;3613;2601,7;2938,3;2936,8;1493;2342,7;1542,9;2592,1;3194,1;2024,1;2109,9;4625,9;2957;3143,7;2432,5;5507,2;5519,4;4342,5;3531,4;3099,9;3753,9;4136,1;4484,5;4929,6;3298,2;3419,9;3899,4
P17813;Endoglin OS=Homo sapiens OX=9606 GN=ENG PE=1 SV=2;Master Protein;934,6;969,3;1073,3;1238,7;1173,4;1226,5;970,2;813,7;665,3;1338;1102,5;1125,1;1000,9;770,5;684,8;770;1160;1121,6;761,8;1011,7;732,9;360;1033,9;739,1;841,5;785,5;788,2;903,2;931,7;1038,6;998,8;934,8;1140,7;1109,6;1031,8;1019,2;1064;1218,4;1414,9;1370,9;1914;1015,4;1485;1289,8
Q15369;Elongin-C OS=Homo sapiens OX=9606 GN=ELOC PE=1 SV=1;Master Protein;1744,6;1533,8;1387,3;1013;1140,5;456,6;621,2;1418,7;1063,1;1709,1;1590,9;1056,4;643,6;562,9;1651,3;1969,6;1577,9;1606,2;1004,2;1232,9;711,4;634,6;1175,4;968,9;922,3;897,2;528,7;545,4;1523,6;1328,6;984,9;580,7;1715,6;1613,4;1422,3;1415,2;1566,6;1540,2;1207,2;1358,6;1349,4;688,9;727,6;734,3
O43237;Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1;Master Protein;1436,7;1223,8;899,1;1347,5;1760;1111;1026;1089,5;1129;1292,4;1140,1;1730,4;1313,4;1081,4;1046,1;1381,9;925,2;930,9;1495,4;1643,4;1129,9;563,7;913;565,7;1371,3;1284,6;1038;1369;1311,6;892,1;1446,9;1109,5;1429;1385,7;1193,6;837,9;963,8;997,5;1792,2;1784;2059,2;1226,6;1525,4;1344,8
Q9UKS6;Protein kinase C and casein kinase substrate in neurons protein 3 OS=Homo sapiens OX=9606 GN=PACSIN3 PE=1 SV=2;Master Protein;1862,4;1454,1;1291,4;1024,6;1752,8;906,3;1137,6;1015;1061;1504,9;1708,1;1020,4;927,7;1125,9;1655;1592,8;2250,4;2016,9;1749,5;1993,6;1606;516,4;1315,5;901,2;1659,6;1389,7;864;1004;1382;1553,3;1283;1140,5;1224,7;1272,9;1105,5;1566,8;1524,7;1736,9;1124;1204,7;1683,6;1440,7;1091,7;1025,6
Q13247;Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2;Master Protein;1334,3;972;773,2;1324,8;1361,8;1438,5;1488,8;923,6;878,8;1104,2;936,7;1329,7;1763,4;1582,6;855,8;1131,4;1002,8;919,2;1369,9;1463,2;1741,6;464,6;746,6;595,6;1086,7;1173,3;1602,9;1933,1;1070,6;890,4;1431,9;1629,9;1234,1;1150,6;1061,8;972,9;1002,8;954,1;1685,7;1683;1941,5;2044,8;2223,3;1873,5
